state,state_fips,variable,sex,age_group,num_chronic,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alaska,02,Per Capita Spending-Actual ($),males, Less than 65 Years,0 to 1,1944.2934,2190.7734,2516.2572,2401.2398,2069.8405,2919.7965,2543.9406,2493.9493,2819.1019,2921.8238,2706.9715
Alaska,02,Per Capita Spending-Actual ($),males, Less than 65 Years,2 to 3,7598.8901,9028.5354,11212.4074,8721.2311,8881.6098,9217.6199,9037.4417,8846.7513,9201.9347,10705.3107,11166.4783
Alaska,02,Per Capita Spending-Actual ($),males, Less than 65 Years,4 to 5,18238.8592,20735.5307,19793.7466,18412.4881,21120.3523,18133.2252,21610.5785,23379.3678,20704.5279,20924.3249,20956.7107
Alaska,02,Per Capita Spending-Actual ($),males, Less than 65 Years,6+,41694.7314,47957.4675,44629.8717,48876.7522,54944.4743,47200.9785,54721.8898,51942.0789,46862.8129,52495.4171,53378.7366
Alaska,02,Per Capita Spending-Standardized ($),males, Less than 65 Years,0 to 1,1565.8729,1809.4671,1940.0943,1878.1592,1460.9884,2241.0086,1894.9384,2078.9645,2344.2131,2341.7142,2227.7353
Alaska,02,Per Capita Spending-Standardized ($),males, Less than 65 Years,2 to 3,6154.9927,7193.4612,8669.2469,6592.5878,6321.3481,6652.9543,6570.495,6874.614,7298.217,8043.263,8322.693
Alaska,02,Per Capita Spending-Standardized ($),males, Less than 65 Years,4 to 5,14603.0842,17223.264,15359.0203,14030.8377,15728.5878,13139.4565,15323.1124,17935.4564,15857.1237,15008.0421,15390.5168
Alaska,02,Per Capita Spending-Standardized ($),males, Less than 65 Years,6+,32760.333,37616.2237,33350.6329,38185.7279,37915.6311,35609.179,39583.1145,37771.6549,34985.2457,37545.8816,38086.5304
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,0 to 1,360.0489,404.1013,373.8657,399.4135,368.2558,355.7959,355.3812,304.7235,343.5565,369.3285,326.5116
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,2 to 3,1116.4154,1124.7113,1159.7975,1168.2759,1105.4313,1019.7368,1028.0076,1057.1429,999.3827,1105.2002,1145.3856
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,4 to 5,1913.1175,2015.873,2367.0213,2126.7606,2102.719,2031.4208,1886.8966,2065.8065,2086.8516,1897.1963,1938.3562
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,6+,4055.0459,4004.0323,3476,4181.8182,4295.1807,3967.655,4382.8125,4507.6923,4088.993,3631.47,4024.4821
Alaska,02,Hospital Readmissions-Percentage (%),males, Less than 65 Years,0 to 1,10.07,NA,NA,NA,NA,8.21,NA,NA,NA,NA,NA
Alaska,02,Hospital Readmissions-Percentage (%),males, Less than 65 Years,2 to 3,15.52,10.86,16.96,13.49,12.67,15.26,11.49,9.54,6.2,9.09,8.13
Alaska,02,Hospital Readmissions-Percentage (%),males, Less than 65 Years,4 to 5,18.4,11.26,16.72,12.8,14.01,11.98,13.13,19.67,11.66,15,14.93
Alaska,02,Hospital Readmissions-Percentage (%),males, Less than 65 Years,6+,32.14,32.59,29.65,18.28,26.43,25.05,24.9,29.02,26.4,23.77,25.36
Alaska,02,Per Capita Spending-Actual ($),males, 65 Years and Over,0 to 1,1384.9747,1520.8125,1610.9134,1638.7531,1628.374,1631.6729,1527.5855,1706.9599,1796.7991,1799.2279,1912.8219
Alaska,02,Per Capita Spending-Actual ($),males, 65 Years and Over,2 to 3,6162.1515,6478.3605,6950.4838,6965.2121,6438.9958,6274.6636,6619.8731,6865.2162,6562.4807,7063.0566,7387.2229
Alaska,02,Per Capita Spending-Actual ($),males, 65 Years and Over,4 to 5,13665.4885,14971.903,16078.8322,16605.104,15557.6604,15143.4723,15827.1729,16031.3866,15532.1607,16251.6967,16577.6196
Alaska,02,Per Capita Spending-Actual ($),males, 65 Years and Over,6+,32864.3324,34674.0923,37702.674,38040.5526,40230.8808,36878.7876,39222.7016,40131.0626,40958.3039,39716.2688,41750.0016
Alaska,02,Per Capita Spending-Standardized ($),males, 65 Years and Over,0 to 1,1146.1698,1285.657,1253.5457,1308.7375,1205.6493,1239.0716,1180.9761,1398.9854,1504.3338,1502.7988,1559.4808
Alaska,02,Per Capita Spending-Standardized ($),males, 65 Years and Over,2 to 3,4966.9399,5244.2266,5358.6209,5437.3938,4613.1933,4635.7217,4818.8197,5379.2966,5250.0274,5445.4002,5646.3348
Alaska,02,Per Capita Spending-Standardized ($),males, 65 Years and Over,4 to 5,10906.6055,12053.1043,12254.1518,12663.037,10848.2863,10957.3202,11309.8965,11884.1914,11862.1012,11973.0961,12071.8882
Alaska,02,Per Capita Spending-Standardized ($),males, 65 Years and Over,6+,25899.2728,27790.7534,28556.4153,28875.4387,28186.2108,26532.5249,27813.7734,29578.0546,30438.5649,28423.8045,29592.2401
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,0 to 1,118.2118,120.7921,113.3095,114.4224,107.7911,107.7831,106.818,111.3348,111.7666,115.1336,118.1212
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,2 to 3,365.8579,390.2116,399.0453,397.5563,374.7093,362.9898,357.4691,348.4423,379.3405,374.3452,365.5424
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,4 to 5,777.5635,822.5957,808.4731,796.4853,762.8294,793.4555,787.0574,767.8188,774.2303,795.3618,804.2553
Alaska,02,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,6+,1804.4572,1922.7614,1931.9265,1947.6601,1963.7333,1816.1979,1933.2698,1875.9284,1880.695,1972.1317,1972.7844
Alaska,02,Hospital Readmissions-Percentage (%),males, 65 Years and Over,0 to 1,7.9,8.39,5.76,6.43,7.25,6.18,NA,3.79,4.73,NA,5.56
Alaska,02,Hospital Readmissions-Percentage (%),males, 65 Years and Over,2 to 3,8.73,7.87,8.12,8.64,7.02,6.58,7.51,6.99,5.92,6.92,7.12
Alaska,02,Hospital Readmissions-Percentage (%),males, 65 Years and Over,4 to 5,12.27,14.47,12.97,12.98,12.3,11.78,12.21,11.35,10.84,9.85,11.3
Alaska,02,Hospital Readmissions-Percentage (%),males, 65 Years and Over,6+,24.02,21.95,23.24,20.47,22.12,21.08,21.59,19.11,20.38,19.03,20.43
Arizona,04,Per Capita Spending-Actual ($),males, Less than 65 Years,0 to 1,1433.7188,1596.6094,1740.1426,1813.3683,1910.9138,1898.7193,1854.5031,1865.5492,1934.4518,1772.9703,1872.4811
Arizona,04,Per Capita Spending-Actual ($),males, Less than 65 Years,2 to 3,7734.4992,7782.7743,8359.4138,8777.4827,8214.2725,8480.0795,8553.4319,8459.008,8690.4562,8956.4694,8742.6603
Arizona,04,Per Capita Spending-Actual ($),males, Less than 65 Years,4 to 5,17387.2053,18002.3172,18271.2123,18937.8187,17930.9391,17906.7542,18090.0611,18146.4001,18211.1066,18189.8519,17840.5117
Arizona,04,Per Capita Spending-Actual ($),males, Less than 65 Years,6+,44229.8342,45035.2812,48466.4511,48546.892,48031.3178,48313.4246,49775.9295,47574.0578,46915.4519,49582.9942,47343.2624
Arizona,04,Per Capita Spending-Standardized ($),males, Less than 65 Years,0 to 1,1389.7813,1558.3954,1679.3287,1719.9045,1790.1548,1808.2637,1764.3133,1776.6493,1880.9834,1758.2293,1843.6388
Arizona,04,Per Capita Spending-Standardized ($),males, Less than 65 Years,2 to 3,7323.7252,7482.9721,7881.9046,8234.5075,7648.1381,8002.8517,7999.0723,7858.0502,8294.4347,8537.3037,8348.3853
Arizona,04,Per Capita Spending-Standardized ($),males, Less than 65 Years,4 to 5,16110.8938,16945.4747,17067.3511,17328.5345,16403.5489,16547.6476,16544.7504,16699.0716,17125.6484,17120.7489,16674.3054
Arizona,04,Per Capita Spending-Standardized ($),males, Less than 65 Years,6+,40289.4145,41925.3061,44238.5072,43501.2849,42635.4646,43377.6215,44611.2597,43079.6979,42820.456,45216.3111,42595.6294
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,0 to 1,278.2452,284.5966,292.3421,296.3169,289.4592,302.3062,270.2183,295.0363,295.3606,294.7305,277.0711
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,2 to 3,836.0751,843.4007,851.7202,854.3341,813.2935,810.6541,807.0136,822.5006,817.899,809.1752,820.0631
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,4 to 5,1549.6101,1626.7682,1572.7403,1475.6716,1468.1976,1513.638,1369.248,1433.8415,1451.2907,1436.773,1383.1283
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,6+,3670.4745,4001.749,3968.8231,3923.6962,3702.3016,3715.0104,3902.1772,3965.1197,3782.7684,3803.6344,3582.7604
Arizona,04,Hospital Readmissions-Percentage (%),males, Less than 65 Years,0 to 1,8.78,9.31,7.27,10.42,11.39,9.77,8.22,5.09,7.21,6.61,6.65
Arizona,04,Hospital Readmissions-Percentage (%),males, Less than 65 Years,2 to 3,13.03,13.52,13.16,16.01,11.39,13.01,12.36,11.93,11.72,10.86,10.53
Arizona,04,Hospital Readmissions-Percentage (%),males, Less than 65 Years,4 to 5,18.69,17.53,19.48,18.72,19.45,17.92,16.74,16.17,15.19,16.03,15.41
Arizona,04,Hospital Readmissions-Percentage (%),males, Less than 65 Years,6+,33.97,34.23,33.45,35.43,33.76,32.99,31.83,32.09,31.15,33.02,33.05
Arizona,04,Per Capita Spending-Actual ($),males, 65 Years and Over,0 to 1,1625.1755,1692.3348,1786.9669,1795.9706,1794.7476,1796.9378,1805.9705,1840.345,1807.581,1820.316,1841.084
Arizona,04,Per Capita Spending-Actual ($),males, 65 Years and Over,2 to 3,5298.2182,5377.6072,5570.007,5710.3698,5479.7286,5638.0974,5606.7558,5663.8235,5787.7039,5917.0159,6088.398
Arizona,04,Per Capita Spending-Actual ($),males, 65 Years and Over,4 to 5,11946.6196,12093.4454,12315.1057,12288.2343,11788.686,11660.9171,11732.204,11483.6167,11490.9571,11264.5574,11856.7049
Arizona,04,Per Capita Spending-Actual ($),males, 65 Years and Over,6+,30440.2562,31397.7176,32897.1951,32773.6393,32437.5132,32567.1014,31573.793,31574.153,31319.4719,31438.2208,31983.302
Arizona,04,Per Capita Spending-Standardized ($),males, 65 Years and Over,0 to 1,1611.5257,1690.2479,1773.1835,1769.7586,1735.3733,1750.9315,1773.0373,1779.1569,1787.5035,1801.429,1806.7612
Arizona,04,Per Capita Spending-Standardized ($),males, 65 Years and Over,2 to 3,5138.8223,5265.785,5388.8851,5473.2614,5178.2402,5389.5105,5364.4021,5366.3809,5578.031,5692.0459,5802.7259
Arizona,04,Per Capita Spending-Standardized ($),males, 65 Years and Over,4 to 5,11349.7778,11615.1692,11651.1585,11518.9178,10907.7106,10945.0913,10990.0624,10742.16,10901.1867,10624.0998,11064.9354
Arizona,04,Per Capita Spending-Standardized ($),males, 65 Years and Over,6+,28580.6545,29876.854,30753.3209,30234.5837,29399.7771,29952.0135,29021.0317,29071.0733,29242.2524,29115.1036,29285.1714
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,0 to 1,116.889,118.7575,115.834,116.5936,116.2356,113.8647,111.869,114.0415,118.2549,120.4315,122.3979
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,2 to 3,309.3833,315.2669,303.6675,312.4499,300.945,302.9052,294.6855,305.9779,318.8504,320.8395,330.5865
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,4 to 5,650.872,659.7137,648.8608,638.2983,620.4433,619.8949,601.9706,607.904,608.9072,616.4536,628.6239
Arizona,04,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,6+,1647.9309,1685.5587,1716.9089,1721.3684,1721.3516,1703.8417,1650.3682,1657.7364,1693.866,1672.733,1702.9412
Arizona,04,Hospital Readmissions-Percentage (%),males, 65 Years and Over,0 to 1,6.31,5.54,5.87,5.76,5.53,6.91,5.58,5.22,4.95,3.53,4.15
Arizona,04,Hospital Readmissions-Percentage (%),males, 65 Years and Over,2 to 3,8.59,7.98,7.8,7.19,7.16,6.94,7,6.82,6.76,5.99,6.66
Arizona,04,Hospital Readmissions-Percentage (%),males, 65 Years and Over,4 to 5,13.48,12.86,11.99,12.89,11.19,10.94,10.44,10.43,10.04,9.56,9.55
Arizona,04,Hospital Readmissions-Percentage (%),males, 65 Years and Over,6+,24.58,25.04,24.8,24.77,23.84,22.67,21.24,21.5,20.93,20.3,20.97
Arkansas,05,Per Capita Spending-Actual ($),males, Less than 65 Years,0 to 1,1491.8042,1615.409,1585.0319,1703.2367,1599.2506,1561.586,1615.6804,1688.8547,1660.3665,1668.1594,1679.4074
Arkansas,05,Per Capita Spending-Actual ($),males, Less than 65 Years,2 to 3,5758.0596,6189.88,6026.1469,6365.8685,5908.148,5903.2528,5979.4825,6266.6538,6253.1187,6350.9609,6244.4466
Arkansas,05,Per Capita Spending-Actual ($),males, Less than 65 Years,4 to 5,13354.1413,13565.6059,14092.653,13207.6313,13401.1482,13062.7783,13202.6302,13316.911,13120.6009,12781.944,12207.3482
Arkansas,05,Per Capita Spending-Actual ($),males, Less than 65 Years,6+,30841.6213,33435.1761,33906.0319,34691.3649,33465.463,33469.5095,33909.9183,35948.9278,34161.8668,33262.7185,32072.4732
Arkansas,05,Per Capita Spending-Standardized ($),males, Less than 65 Years,0 to 1,1612.6894,1747.1358,1695.6622,1803.0896,1692.317,1662.4724,1724.9847,1755.3387,1766.8103,1790.3696,1808.2419
Arkansas,05,Per Capita Spending-Standardized ($),males, Less than 65 Years,2 to 3,6156.8835,6578.7254,6399.6182,6728.4036,6237.7289,6247.8488,6402.5535,6529.2422,6622.488,6790.1874,6718.6838
Arkansas,05,Per Capita Spending-Standardized ($),males, Less than 65 Years,4 to 5,14029.9053,14311.9537,14743.3155,13832.0464,14151.3734,13761.0992,14009.1395,14002.9788,13874.6079,13748.8052,13092.8025
Arkansas,05,Per Capita Spending-Standardized ($),males, Less than 65 Years,6+,31864.6005,34586.4266,35177.8622,35902.3013,34478.9467,34874.781,35608.0877,37392.1016,35994.2532,35271.7072,33978.1541
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,0 to 1,344.4976,355.0501,352.6301,352.0665,349.307,348.2404,351.7053,366.2511,347.0398,336.4687,330.3144
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,2 to 3,825.1414,863.9812,826.1821,865.4213,852.9807,867.6605,851.6184,844.9655,790.2736,766.9035,757.1279
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,4 to 5,1466.746,1412.9941,1561.6985,1471.0675,1499.7965,1502.4071,1447.7612,1498.0344,1429.4722,1383.9038,1286.663
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,6+,3256.2921,3295.6204,3365.8774,3506.2241,3460.7247,3516.1051,3345.1701,3636.9119,3393.9197,3357.4459,3195.3064
Arkansas,05,Hospital Readmissions-Percentage (%),males, Less than 65 Years,0 to 1,13.08,9.19,8.2,9.18,10.11,8.22,9.13,9.34,11.47,10.59,6.22
Arkansas,05,Hospital Readmissions-Percentage (%),males, Less than 65 Years,2 to 3,11.8,13.52,13.04,14.19,12.21,11.28,12.62,10.68,9.1,12.28,11.21
Arkansas,05,Hospital Readmissions-Percentage (%),males, Less than 65 Years,4 to 5,18.53,17.75,18.27,17.95,16.53,16.27,16,17.53,17.03,14.69,15.96
Arkansas,05,Hospital Readmissions-Percentage (%),males, Less than 65 Years,6+,29.12,30.2,29.73,29.51,28.58,28.11,28.07,30.47,28.64,29.87,28.97
Arkansas,05,Per Capita Spending-Actual ($),males, 65 Years and Over,0 to 1,1439.3815,1405.3231,1387.5118,1435.5428,1393.8322,1420.1042,1348.0328,1390.434,1373.8306,1404.3832,1381.991
Arkansas,05,Per Capita Spending-Actual ($),males, 65 Years and Over,2 to 3,5015.956,5025.2125,4947.8228,5011.2445,4775.6629,4733.4308,4699.763,4721.8964,4849.3592,4952.8458,5067.1061
Arkansas,05,Per Capita Spending-Actual ($),males, 65 Years and Over,4 to 5,11388.3184,11282.3918,11317.8864,11194.328,10618.246,10284.4583,10226.4458,10353.5942,10286.581,10322.7921,10637.607
Arkansas,05,Per Capita Spending-Actual ($),males, 65 Years and Over,6+,28011.2314,28304.812,29333.7035,29185.2262,29523.0757,28975.5996,28443.5106,28814.1813,29117.7184,28721.8007,29056.7012
Arkansas,05,Per Capita Spending-Standardized ($),males, 65 Years and Over,0 to 1,1561.271,1524.6996,1499.7801,1530.2151,1485.081,1527.6209,1459.2971,1482.0618,1491.7444,1521.805,1508.0903
Arkansas,05,Per Capita Spending-Standardized ($),males, 65 Years and Over,2 to 3,5328.5914,5345.7375,5254.2922,5273.8114,5010.4424,5023.046,5036.5936,4993.506,5196.5961,5327.8866,5460.0897
Arkansas,05,Per Capita Spending-Standardized ($),males, 65 Years and Over,4 to 5,11940.3104,11902.1212,11943.7551,11760.3016,11068.0016,10822.9621,10891.8426,10935.311,10988.4983,11027.7688,11385.7501
Arkansas,05,Per Capita Spending-Standardized ($),males, 65 Years and Over,6+,29344.5036,29833.0354,30950.3859,30762.0498,30863.8208,30313.6715,30111.4616,30383.1877,31077.0732,30726.0948,31155.9085
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,0 to 1,119.4337,125.5071,117.6674,118.7243,118.2997,115.1776,115.2681,119.3987,121.3965,117.0062,118.4096
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,2 to 3,332.4214,333.3859,316.1618,311.7926,308.0688,315.0941,304.9642,316.8199,321.5913,319.2191,323.843
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,4 to 5,702.0087,697.8234,676.1663,669.2171,638.0068,631.0142,618.855,641.4171,654.3848,640.7767,656.6112
Arkansas,05,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,6+,1745.4963,1789.2163,1740.4954,1768.5815,1841.5622,1778.9189,1723.5034,1785.3099,1841.3553,1787.8331,1795.8964
Arkansas,05,Hospital Readmissions-Percentage (%),males, 65 Years and Over,0 to 1,8.2,6.99,6.07,5.96,6.83,6.3,4.84,5.36,4.73,4.42,5.43
Arkansas,05,Hospital Readmissions-Percentage (%),males, 65 Years and Over,2 to 3,9.49,9.45,8.54,8.34,8.03,7.5,7.11,7.15,7.06,6.95,6.63
Arkansas,05,Hospital Readmissions-Percentage (%),males, 65 Years and Over,4 to 5,14.05,14.05,13.36,13.03,12.42,11.67,10.78,10.6,10.29,10.81,11.28
Arkansas,05,Hospital Readmissions-Percentage (%),males, 65 Years and Over,6+,25.44,25.57,24.98,24.81,25.16,24.5,22.36,23,22.55,22.14,22.58
California,06,Per Capita Spending-Actual ($),males, Less than 65 Years,0 to 1,1699.2796,1880.4666,1917.9596,1958.8678,1992.9334,2130.797,2140.2108,2156.2308,2221.5967,2402.918,2581.5077
California,06,Per Capita Spending-Actual ($),males, Less than 65 Years,2 to 3,7821.4524,8569.3529,8937.9959,8804.2715,8822.2567,8503.6543,8718.8984,9431.5835,9320.9939,9435.1444,9551.6267
California,06,Per Capita Spending-Actual ($),males, Less than 65 Years,4 to 5,18069.833,19353.4552,19807.6709,19881.4166,19038.0976,19385.9764,20467.1307,20656.4766,20429.8786,20186.7071,20396.6101
California,06,Per Capita Spending-Actual ($),males, Less than 65 Years,6+,46801.1396,49911.0223,53468.6634,54421.474,55265.7525,56390.8589,56276.395,57279.8775,55582.5007,56008.7964,57226.3053
California,06,Per Capita Spending-Standardized ($),males, Less than 65 Years,0 to 1,1508.1862,1678.3061,1695.813,1741.8892,1730.707,1886.827,1864.2669,1824.517,1910.2632,2070.2078,2216.6109
California,06,Per Capita Spending-Standardized ($),males, Less than 65 Years,2 to 3,6680.4622,7322.3776,7509.9411,7499.2765,7268.9104,7119.5288,7237.3387,7748.4972,7688.5721,7683.0611,7800.3977
California,06,Per Capita Spending-Standardized ($),males, Less than 65 Years,4 to 5,14960.9754,16076.4465,16150.5245,16434.9951,15229.4047,15806.4794,16521.3332,16488.6877,16315.256,15933.6531,16082.7982
California,06,Per Capita Spending-Standardized ($),males, Less than 65 Years,6+,37587.1518,40281.736,42576.3716,44046.5865,42940.0079,45057.4576,43814.714,44225.0355,42998.6703,42676.6247,43877.5072
California,06,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,0 to 1,294.1665,302.8352,304.1956,297.1572,292.2075,299.3154,302.2582,297.6084,298.1729,310.4303,310.4345
California,06,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,2 to 3,771.9669,785.2997,799.5923,787.0564,768.9588,766.2949,776.1743,792.8512,786.8645,804.2097,791.1551
California,06,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,4 to 5,1362.1562,1395.8076,1379.1302,1368.2944,1334.6917,1371.7624,1374.3605,1397.5378,1420.7223,1386.6753,1406.2765
California,06,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,6+,3288.9046,3375.4715,3454.2622,3497.8029,3517.956,3579.6491,3613.6406,3573.7332,3495.4381,3545.7301,3646.681
California,06,Hospital Readmissions-Percentage (%),males, Less than 65 Years,0 to 1,9.31,8.47,7.69,8.72,8.63,8.64,8.54,8.73,7.51,8.49,8.34
